,Ticker,Conversations,Headlines,HeadlinesL2Delta,ConversationL2Delta,HeadlinesR2,ConversationR2,HeadlinePascal,ConversationPascal
1084,COLD,0.5687666666666668,0.3112651162790698,0.18969999999999998,0.7137,0.06525401331169343,0.6537673086295295,0.581491488569488,0.66255625
1085,IPGP,0.0,-0.02951379310344827,0.6369,0.0,0.09627854933742175,0,0.13469510009088959,0.0
1086,UTHR,0.25354999999999994,0.30159298245614036,0.5317,-0.19689999999999996,0.01458660273941735,0.4071726004825002,0.4320878989664221,0.46849375000000004
1087,SMAR,0.15660000000000002,-0.11206285714285712,0.7739,-0.63,0.008354400104438376,0.15810833055293944,0.03147720980839841,-0.12941627823097285
1088,JBL,0.6840999999999999,0.051767187499999985,-0.5267,0.3131999999999999,0.08393809315936213,0.6783484515159038,0.16043433464367782,0.83971875
1089,UGI,0.2524545454545455,0.11267777777777777,-0.5106,-0.4404,0.01403981745782355,0.0002984720435460933,0.17753796965417415,0.14517574968338012
1090,UAA,0.05521428571428571,-0.05495538461538462,-0.6238,-0.5267,0.022065963088126195,0.0008503182650031026,0.07504045347834593,0.0372870361328125
1091,JNPR,0.3967666666666667,0.025182758620689652,0.0,0.007299999999999973,0.0009466892826733645,0.9881516804605002,-0.11721757824833108,0.6883625000000001
1092,GXO,0.20191250000000002,0.012843750000000001,0.0,0.2766,0.001391404979024461,0.40093228735274417,0.03791851394101509,0.42265018920898434
1093,NBIX,0.7758,0.11106031746031747,0.0,0.17000000000000004,1.0282640452406616e-05,0,0.07561576037261704,0.8182999999999999
1094,ST,0.15001142189736907,0.08282173913043478,0.0,0.038566981132075476,0.1072854250039816,0,-0.07770172037242695,0
1095,JEF,0.15001142189736907,-0.01285178571428571,-0.1779,0.038566981132075476,0.004560628377722541,0,0.0035651775525504885,0
1096,DXC,0.5473,-0.11279870129870131,0.6542,0.0,0.03721708529702679,0,-0.025266788205851314,0.5473
1097,CNXC,0.015347368421052643,0.09274634146341461,-0.5098,0.49589999999999995,0.01689413550944171,0.10043604689654412,0.1899740515043485,0.19412970055919954
1098,TW,0.15001142189736907,0.07427307692307691,0.8591,0.038566981132075476,0.0027688928944130374,0,0.23322155501881348,0
1099,GPS,0.15001142189736907,0.10056249999999999,0.5818,0.038566981132075476,0.24414748133597783,0,0.3449145324707031,0
1100,SITE,0.15001142189736907,-0.08237027027027027,0.0,0.038566981132075476,0.005662753903665476,0,-0.010825828038801702,0
1101,YETI,0.0,0.13559454545454544,0.0,0.0,0.0002764263855036498,0,0.14389211310933672,0.0
1102,LW,0.22593000000000002,-0.10518181818181818,0.6705,1.1961,0.05219596763532315,0.0175146374083601,-0.1803180892597652,0.16926030573986592
1103,RUN,0.0019500000000000095,0.17895270270270264,-0.6369,-0.4446,0.03650492439812438,0.00015149344549600933,0.2662035383281726,0.03662662580308216
1104,ZNGA,0.15001142189736907,0.10056249999999999,0.5818,0.038566981132075476,0.24414748133597783,0,0.3449145324707031,0
1105,KNX,0.15001142189736907,0.040817021276595734,0.128,0.038566981132075476,0.07606343499975535,0,-0.037634853928549664,0
1106,NTNX,0.6103,0.07470961538461537,0.6346,0.0,0.01544129019776968,0,0.18869103651970334,0.6103
1107,SEE,0.15001142189736907,0.2907842105263157,0.0,0.038566981132075476,0.019295743085955358,0,0.20532479663540104,0
1108,Y,0.15001142189736907,0.0331,-1.2988,0.038566981132075476,0.0013739897635257326,0,0.0072218872070312625,0
1109,MRTX,0.15001142189736907,0.019992307692307684,0.5818,0.038566981132075476,0.07771418106277499,0,0.27191362789273266,0
1110,DKS,0.4019,0.10718076923076922,0.0,0.0,0.00016245490174077217,0,0.14461028147466254,0.4019
1111,AZPN,0.15001142189736907,0.23050454545454546,-0.3612,0.038566981132075476,0.017096507374323677,0,0.2994533535411457,0
1112,BERY,0.5267,0.15800769230769232,0.4019,0.0,0.00252125981731459,0,0.23329035631643322,0.5267
1113,VST,0.278245,0.1688666666666667,0.0,1.3942,0.0410271781861403,0.18012891561953134,0.10261566837582922,0.39152609810599986
1114,OGN,0.28985000000000005,0.0991787234042553,-0.13590000000000002,0.5106,0.0021617320723601387,0.02083494447637524,0.2542253824415499,0.19830196518016535
1115,FHN,-0.3445714285714286,0.19215312500000004,-0.7506,0.34759999999999996,0.03811240400063135,0.213230073313761,0.4276066497735011,-0.2013939697265625
1116,BFAM,0.15001142189736907,0.3187290322580645,-0.802,0.038566981132075476,0.10962933566422817,0,0.17720741640064683,0
1117,CHDN,0.15001142189736907,0.08717058823529412,0.4588,0.038566981132075476,0.0038385462447901716,0,-0.06225194322152569,0
